resampling_technique;hyperparameters;accuracy;precision;recall;f1-score
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 128, 'dropout_rate': 0.3, 'lr': 0.001, 'neuron': 128, 'optimizer': 'adam'};95.95%;92.72%;99.72%;96.10%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 128, 'dropout_rate': 0.3, 'lr': 0.0001, 'neuron': 32, 'optimizer': 'adam'};97.40%;95.12%;99.93%;97.47%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 128, 'dropout_rate': 0.3, 'lr': 0.0001, 'neuron': 64, 'optimizer': 'adam'};96.99%;94.90%;99.31%;97.06%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 128, 'dropout_rate': 0.3, 'lr': 0.0001, 'neuron': 128, 'optimizer': 'adam'};96.64%;93.71%;100.00%;96.75%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 128, 'dropout_rate': 0.4, 'lr': 0.01, 'neuron': 32, 'optimizer': 'adam'};95.85%;94.43%;97.44%;95.91%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 128, 'dropout_rate': 0.4, 'lr': 0.01, 'neuron': 64, 'optimizer': 'adam'};95.12%;91.37%;99.65%;95.33%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 128, 'dropout_rate': 0.4, 'lr': 0.01, 'neuron': 128, 'optimizer': 'adam'};96.26%;93.26%;99.72%;96.39%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 128, 'dropout_rate': 0.4, 'lr': 0.001, 'neuron': 32, 'optimizer': 'adam'};96.61%;93.99%;99.58%;96.70%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 128, 'dropout_rate': 0.4, 'lr': 0.001, 'neuron': 64, 'optimizer': 'adam'};95.98%;93.06%;99.38%;96.12%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 128, 'dropout_rate': 0.4, 'lr': 0.001, 'neuron': 128, 'optimizer': 'adam'};96.85%;94.19%;99.86%;96.94%
